Release Date,Title,Genre,With,Runtime,Link,Distributor,Scale
"June 8, 2026",Ocean Dreams,Documentary,Shailene Woodley,43 min,https://pro.imdb.com/title/tt42719172?ref_=mojo_rs_table_1&rf=mojo_rs_table_1,N/A,Limited
"June 9, 2026",Sacred Heart: His Reign Has No End,"Documentary
    
        Drama","Maximilien Ambroselli, Olivier Barnay, Clémentine Beauvais, Alicia Beauvisage",N/A,https://pro.imdb.com/title/tt38551604?ref_=mojo_rs_table_2&rf=mojo_rs_table_2,-,Limited
"June 12, 2026",Jinsei,"Animation
    
        Drama","Cool Ace, Remi Chon, Eri Kamataki, Katsuya Magma",N/A,https://pro.imdb.com/title/tt36639420?ref_=mojo_rs_table_3&rf=mojo_rs_table_3,Greenwich Entertainment,Wide
"June 12, 2026",I Shot Andy Warhol,"Biography
    
        Drama","Lili Taylor, Jared Harris, Martha Plimpton, Lothaire Bluteau",N/A,https://pro.imdb.com/title/tt0116594?ref_=mojo_rs_table_4&rf=mojo_rs_table_4,Janus Films,Limited
"June 12, 2026",Main Vaapas Aaunga,"Comedy
    
        Drama
    
        Musical
    
        Romance","Diljit Dosanjh, Naseeruddin Shah, Vedang Raina, Sharvari",N/A,https://pro.imdb.com/title/tt37333137?ref_=mojo_rs_table_5&rf=mojo_rs_table_5,N/A,Limited
"June 12, 2026",This Tempting Madness,Thriller,"Simone Ashley, Austin Stowell, Suraj Sharma, Mojean Aria",N/A,https://pro.imdb.com/title/tt30796568?ref_=mojo_rs_table_6&rf=mojo_rs_table_6,-,Limited
"June 12, 2026",Disclosure Day,"Action
    
        Drama
    
        Mystery
    
        Sci-Fi
    
        Thriller","Emily Blunt, Josh O'Connor, Colin Firth, Eve Hewson",N/A,https://pro.imdb.com/title/tt15047880?ref_=mojo_rs_table_7&rf=mojo_rs_table_7,Universal Pictures,Wide
"June 12, 2026",Time of Death,"Horror
    
        Mystery
    
        Thriller","Michael Kelly, Kevin Pollak, Dennis Haysbert, Mena Suvari",N/A,https://pro.imdb.com/title/tt26689505?ref_=mojo_rs_table_8&rf=mojo_rs_table_8,-,Limited
"June 12, 2026",Bharat Bhhagya Viddhaata,"Drama
    
        Thriller","Kangana Ranaut, Girija Oak, Smita Tambe, Asha Shelar",N/A,https://pro.imdb.com/title/tt33334267?ref_=mojo_rs_table_9&rf=mojo_rs_table_9,-,Limited
"June 12, 2026",O Horizon,"Comedy
    
        Drama
    
        Romance
    
        Sci-Fi","Maria Bakalova, David Strathairn, Adam Pally, Maggie Grace",N/A,https://pro.imdb.com/title/tt25971256?ref_=mojo_rs_table_10&rf=mojo_rs_table_10,Variance Films,Limited
"June 12, 2026",The Devil Queen,Drama,"Milton Gonçalves, Odete Lara, Stepan Nercessian, Nelson Xavier",N/A,https://pro.imdb.com/title/tt0189039?ref_=mojo_rs_table_11&rf=mojo_rs_table_11,Kino Lorber,Limited
"June 12, 2026",The Furious,"Action
    
        Crime
    
        Thriller","Miao Xie, Joe Taslim, Enyou Yang, Brian Le",N/A,https://pro.imdb.com/title/tt33311069?ref_=mojo_rs_table_12&rf=mojo_rs_table_12,Lionsgate,Limited
"June 12, 2026",Stop! That! Train!,"Action
    
        Comedy","Brock Hayhoe, Paul Scheer, Symone, Joel McHale",N/A,https://pro.imdb.com/title/tt38128726?ref_=mojo_rs_table_13&rf=mojo_rs_table_13,N/A,Wide
"June 12, 2026",By Hook or by Crook,"Crime
    
        Drama
    
        Romance","Silas Howard, Harry Dodge, Stanya Kahn, Carina Gia",N/A,https://pro.imdb.com/title/tt0290498?ref_=mojo_rs_table_14&rf=mojo_rs_table_14,Altered Innocence,Limited
"June 13, 2026",Ponyo,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy","Tomoko Yamaguchi, Kazushige Nagashima, Yûki Amami, George Tokoro",N/A,https://pro.imdb.com/title/tt0876563?ref_=mojo_rs_table_15&rf=mojo_rs_table_15,Fathom Events,Limited
"June 13, 2026",BTS World Tour 'Arirang' in Busan: Live Viewing,"Documentary
    
        Music","V, BTS, Jungkook, Jimin",N/A,https://pro.imdb.com/title/tt42867738?ref_=mojo_rs_table_16&rf=mojo_rs_table_16,Trafalgar Releasing,Limited
"June 14, 2026",UFC Freedom 250,N/A,"Alex Pereira, Ciryl Gane, Ilia Topuria, Justin Gaethje",N/A,https://pro.imdb.com/title/tt40793127?ref_=mojo_rs_table_17&rf=mojo_rs_table_17,Iconic Events Releasing,Limited
"June 16, 2026",Diamond Made Man,"Action
    
        Sci-Fi","Sreehari, Vasudha, Sreehari Devi Mangala Puvvu",N/A,https://pro.imdb.com/title/tt39674832?ref_=mojo_rs_table_18&rf=mojo_rs_table_18,N/A,Wide
"June 17, 2026",Gregg Allman: The Music of My Soul,"Biography
    
        Documentary
    
        Music","Gregg Allman, Duane Allman, James Keach, Cher",N/A,https://pro.imdb.com/title/tt40210973?ref_=mojo_rs_table_19&rf=mojo_rs_table_19,Subtext Films,Limited
"June 19, 2026",Rose of Nevada,"Drama
    
        Fantasy
    
        Horror
    
        Mystery
    
        Sci-Fi","George MacKay, Callum Turner, Emily Daglish-Laine, Rosalind Eleazar",N/A,https://pro.imdb.com/title/tt35674521?ref_=mojo_rs_table_20&rf=mojo_rs_table_20,1-2 Special,Limited
"June 19, 2026",Girls Like Girls,Drama,"Maya da Costa, Myra Molloy, Zach Braff, Levon Hawke",N/A,https://pro.imdb.com/title/tt32432654?ref_=mojo_rs_table_21&rf=mojo_rs_table_21,Focus Features,Limited
"June 19, 2026",La niña de la cabra,Drama,"Ana Asensio, Alessandra González, Silvia Yagüe, Javier Pereira",N/A,https://pro.imdb.com/title/tt26166154?ref_=mojo_rs_table_22&rf=mojo_rs_table_22,Outsider Films,Limited
"June 19, 2026",Toy Story 5,"Adventure
    
        Animation
    
        Comedy
    
        Drama
    
        Family
    
        Fantasy","Tom Hanks, Keanu Reeves, Alan Cumming, Joan Cusack",N/A,https://pro.imdb.com/title/tt29355505?ref_=mojo_rs_table_23&rf=mojo_rs_table_23,Walt Disney Studios Motion Pictures,Wide
"June 19, 2026",Peter Asher: Everywhere Man,Documentary,"Peter Asher, Eric Idle, Jane Asher, James Taylor",N/A,https://pro.imdb.com/title/tt38066059?ref_=mojo_rs_table_24&rf=mojo_rs_table_24,Greenwich Entertainment,Limited
"June 19, 2026",Maddie's Secret,"Comedy
    
        Drama","John Early, Kip Reynolds, Neil Wachs, Harris Mayersohn",N/A,https://pro.imdb.com/title/tt37675037?ref_=mojo_rs_table_25&rf=mojo_rs_table_25,Magnolia Pictures,Limited
"June 19, 2026",O Horizon,"Comedy
    
        Drama
    
        Romance
    
        Sci-Fi","Maria Bakalova, David Strathairn, Adam Pally, Maggie Grace",N/A,https://pro.imdb.com/title/tt25971256?ref_=mojo_rs_table_26&rf=mojo_rs_table_26,Variance Films,Wide
"June 19, 2026",The Death of Robin Hood,"Action
    
        Adventure
    
        Drama","Hugh Jackman, Jodie Comer, Bill Skarsgård, Jade Croot",N/A,https://pro.imdb.com/title/tt32273171?ref_=mojo_rs_table_27&rf=mojo_rs_table_27,A24,Wide
"June 19, 2026",Leviticus,"Horror
    
        Romance
    
        Sci-Fi
    
        Thriller","Joe Bird, Stacy Clausen, Jeremy Blewitt, Ewen Leslie",N/A,https://pro.imdb.com/title/tt39143902?ref_=mojo_rs_table_28&rf=mojo_rs_table_28,Neon,Limited
"June 20, 2026",Dead Souls,"Drama
    
        Western","Alex Cox, Zander Schloss, Merritt Crocker, Maria Robles",N/A,https://pro.imdb.com/title/tt34142731?ref_=mojo_rs_table_29&rf=mojo_rs_table_29,Kino Lorber,Limited
"June 21, 2026",Ocean's Eleven,"Crime
    
        Thriller","George Clooney, Brad Pitt, Julia Roberts, Matt Damon",N/A,https://pro.imdb.com/title/tt0240772?ref_=mojo_rs_table_30&rf=mojo_rs_table_30,-,Limited
